P_ACCNUM,Q_ACCNUM,C_ACCNUM,m,n,k,p,HS?,log(p),DS(p),DS(p),min_rec_length,breakpoints
279_2005|Bat-R_macrotis|Hubei|DQ648857|2004-11,SC2018|Bat-R_spp|Sichuan|MK211374|2016-10,RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,274,350,126,0.000000029221,0,-7.5343,0.00875,8.748254e-03,2441,357-380 & 3372-3374,298-301 & 3372-3374,295-296 & 3372-3374
279_2005|Bat-R_macrotis|Hubei|DQ648857|2004-11,Rs4255|Bat-R_sinicus|Yunnan-Kunming|KY417149|2013-04-17,HuB2013|Bat-Bat-R_sinicus|Hubei|KJ473814|2013-04,370,305,70,0.000000000028,0,-10.5485,0.00001,8.504632e-06,2123,460-462 & 2605-2607
HuB2013|Bat-Bat-R_sinicus|Hubei|KJ473814|2013-04,SC2018|Bat-R_spp|Sichuan|MK211374|2016-10,279_2005|Bat-R_macrotis|Hubei|DQ648857|2004-11,334,266,56,0.000000003570,0,-8.4473,0.00107,1.072895e-03,1829,1180-1185 & 3014-3023
HuB2013|Bat-Bat-R_sinicus|Hubei|KJ473814|2013-04,SC2018|Bat-R_spp|Sichuan|MK211374|2016-10,Rm1|Bat-R_macrotis|Hubei|DQ412043|2004-11,333,267,56,0.000000005148,0,-8.2884,0.00155,1.546723e-03,1829,1180-1185 & 3014-3023
RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,SC2018|Bat-R_spp|Sichuan|MK211374|2016-10,JL2012|Bat-R_ferrumequinum|Jilin|KJ473811|2012-10,322,224,46,0.000000001195,0,-8.9226,0.00036,3.593243e-04,732,3469-3539 & 4270-4290
RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,SC2018|Bat-R_spp|Sichuan|MK211374|2016-10,JTMC15|Bat-R_ferrumequinum|Jilin|KU182964|2013-10,305,209,46,0.000000000350,0,-9.4560,0.00011,1.052111e-04,732,3469-3539 & 4270-4290
SX2013|Bat-R_ferrumequinum|Shanxi|KJ473813|2013-11,Jiyuan-84|Bat-R_ferrumequinum|Henan-Jiyuan|KY770860|2012,HeB2013|Bat-R_ferrumequinum|Hebei|KJ473812|2013-04,64,36,29,0.000000000000,0,-15.3613,0.00000,1.308648e-10,1661,2565-2628 & 4291-4519
JL2012|Bat-R_ferrumequinum|Jilin|KJ473811|2012-10,Jiyuan-84|Bat-R_ferrumequinum|Henan-Jiyuan|KY770860|2012,SX2013|Bat-R_ferrumequinum|Shanxi|KJ473813|2013-11,71,118,77,0.000000000106,0,-9.9748,0.00003,3.186328e-05,1400,3628-3636 & 5035-5125,3566-3586 & 5035-5125
JTMC15|Bat-R_ferrumequinum|Jilin|KU182964|2013-10,RpShaanxi2011|Bat-R_pusillus|Shaanxi|JX993987|2011-09,Jiyuan-84|Bat-R_ferrumequinum|Henan-Jiyuan|KY770860|2012,350,98,18,0.000000002787,0,-8.5548,0.00084,8.377316e-04,512,4414-4440 & 4951-4956,4414-4440 & 4960-4981,4414-4440 & 5005-5009
Rp3|Bat-R_pearsoni|Guangxi-Nanning|DQ071615|2004-12,HKU3-1|Bat-R_sinicus|Hong_Kong|DQ022305|2005-02-17,GX2013|Bat-R_sinicus|Guangxi|KJ473815|2012-11,616,109,30,0.000000000000,0,-22.1278,0.00000,2.240666e-17,272,1981-2007 & 2278-2283
GX2013|Bat-R_sinicus|Guangxi|KJ473815|2012-11,LYRa11|Bat-R_affinis|Yunnan-Baoshan|KF569996|2011,Rp3|Bat-R_pearsoni|Guangxi-Nanning|DQ071615|2004-12,403,94,21,0.000000000001,0,-12.1317,0.00000,2.220277e-07,248,2003-2031 & 2278-2283
Rs4247|Bat-R_sinicus|Yunnan-Kunming|KY417148|2013-04-17,Rs7327|Bat-R_sinicus|Yunnan--Kunming|KY417151|2014-10-24,Rf4092|Bat-R_ferrumequinum|Yunnan-Kunming|KY417145|2012-09-18,58,68,51,0.000000000000,0,-14.3927,0.00000,1.217276e-09,2426,912-932 & 3360-3407
Rs4247|Bat-R_sinicus|Yunnan-Kunming|KY417148|2013-04-17,YN2018B|Bat-R_affinis|Yunnan|MK211376|2016-09,Rs4231|Bat-R_sinicus|Yunnan-Kunming|KY417146|2013-04-17,35,60,50,0.000000000002,0,-11.7117,0.00000,5.840500e-07,1728,2041-2271 & 5165-5351,1633-1752 & 5165-5351
HSZ-Cc|SARS-CoV-1|Guangzhou|AY394995|2002,GX2013|Bat-R_sinicus|Guangxi|KJ473815|2012-11,WIV16|Bat-R_sinicus|Yunnan-Kunming|KT444582|2013-07-21,192,127,40,0.000000000082,0,-10.0888,0.00002,2.450932e-05,668,3244-3251 & 3919-3960,3157-3227 & 3919-3960
